mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
25.3165,2.96141,10.9123,-0.566245,-0.566245,0.0679944
25.7718,2.95629,11.0783,-0.643568,-0.643568,0.0741507
25.8027,2.94576,11.7852,-0.659003,-0.659003,0.069759
25.6476,2.97062,9.88291,-0.507857,-0.507857,0.0609198
25.5488,2.95594,10.4006,-0.522561,-0.522561,0.0610472
25.5673,2.95912,11.1356,-0.587739,-0.587739,0.0647954
25.5781,2.97229,10.8075,-0.571912,-0.571912,0.0644281
25.4257,2.95105,10.5633,-0.595993,-0.595993,0.0693504
25.3343,2.97596,10.6362,-0.522215,-0.522215,0.0613717
25.2865,2.96951,10.9424,-0.520931,-0.520931,0.0605125
25.3311,2.96401,10.2636,-0.510211,-0.510211,0.0575851
25.6933,2.95643,9.97708,-0.548821,-0.548821,0.0636065
25.5215,2.95307,11.3634,-0.581941,-0.581941,0.0660724
25.675,2.96727,11.3068,-0.657795,-0.657795,0.0759117
25.4949,2.967,9.83307,-0.530225,-0.530225,0.0618169
25.5858,2.96518,11.4463,-0.658596,-0.658596,0.0768806
25.284,2.9633,11.4697,-0.615331,-0.615331,0.0692289
25.4344,2.98594,9.96269,-0.528382,-0.528382,0.062884
25.6629,2.96518,11.6905,-0.615773,-0.615773,0.0690733
25.4714,2.979,10.7957,-0.621553,-0.621553,0.0711042
25.3935,2.95132,11.5621,-0.578296,-0.578296,0.0682757
25.4092,2.94946,11.4584,-0.561175,-0.561175,0.0608121
25.7138,2.95367,10.7012,-0.58898,-0.58898,0.0664923
25.4395,2.95881,11.6369,-0.645526,-0.645526,0.0758109
25.2543,2.97074,10.1302,-0.558727,-0.558727,0.061605
25.3132,2.97886,9.7031,-0.532669,-0.532669,0.0605109
25.2242,2.96065,10.5737,-0.53245,-0.53245,0.0675199
25.5333,2.96831,11.4425,-0.594392,-0.594392,0.0684763
25.4274,2.96835,10.824,-0.581819,-0.581819,0.0649351
25.4824,2.95903,10.4118,-0.593216,-0.593216,0.0680895
25.4311,2.96587,9.24053,-0.489618,-0.489618,0.0594696
25.3285,2.97335,10.6038,-0.520517,-0.520517,0.0603597
25.4491,2.96694,9.14198,-0.495865,-0.495865,0.0591404
25.5518,2.95458,11.7141,-0.715636,-0.715636,0.0829366
25.3424,2.97644,12.2801,-0.621621,-0.621621,0.0677455
25.4278,2.94923,11.9395,-0.661176,-0.661176,0.0772489
25.4073,2.98089,10.6484,-0.583437,-0.583437,0.0692478
25.5014,2.95048,10.0739,-0.561634,-0.561634,0.0647905
