measured_from,datetime,lat,lng,precise
P1,2022-06-22 14:01:26,46.5213666666667,6.57397222222222,on
P1,2022-06-22 14:02:13,46.5213666666667,6.57397222222222,on
P1,2022-06-22 14:02:45,46.5213611111111,6.57397777777778,on
P1,2022-06-22 14:03:41,46.5213611111111,6.57398055555556,on
P1,2022-06-22 14:04:39,46.5213611111111,6.57398055555556,on
P1,2022-06-22 14:05:12,46.5213611111111,6.57398055555556,on
P1,2022-06-22 14:06:01,46.5213611111111,6.57398055555556,on
P1,2022-06-22 14:06:33,46.5213611111111,6.57398055555556,on
P1,2022-06-22 14:07:34,46.5213777777778,6.57393055555556,on
P1,2022-06-22 14:08:30,46.5213805555556,6.57392777777778,on
P1,2022-06-22 14:09:28,46.5213805555556,6.57392777777778,on
P1,2022-06-22 14:10:12,46.5213805555556,6.57392777777778,on
P1,2022-06-22 14:11:12,46.5213916666667,6.57391111111111,on
P1,2022-06-22 14:11:36,46.5213972222222,6.57390555555556,on
P1,2022-06-22 14:12:19,46.5213777777778,6.574,on
P1,2022-06-22 14:13:18,46.5213777777778,6.57400277777778,on
P1,2022-06-22 14:14:02,46.5213777777778,6.57400277777778,on
P1,2022-06-22 14:14:35,46.5213777777778,6.57400277777778,on
P1,2022-06-22 14:15:21,46.5214055555556,6.57399166666667,on
P1,2022-06-22 14:15:58,46.5214111111111,6.57398611111111,on
P1,2022-06-22 14:16:45,46.5214111111111,6.57398611111111,on
P1,2022-06-22 14:17:37,46.5214111111111,6.57398611111111,on
P1,2022-06-22 14:18:22,46.5214111111111,6.57398611111111,on
P1,2022-06-22 14:18:52,46.5214111111111,6.57398611111111,on
P1,2022-06-22 14:19:34,46.5214111111111,6.57398611111111,on
P1,2022-06-22 14:20:12,46.5213611111111,6.57409722222222,on
P1,2022-06-22 14:20:54,46.5213611111111,6.57409722222222,on
P1,2022-06-22 14:21:43,46.5213611111111,6.5741,on
P1,2022-06-22 14:22:14,46.5213472222222,6.574025,on
P1,2022-06-22 14:23:25,46.5213472222222,6.574025,on
P1,2022-06-22 14:24:03,46.5213472222222,6.574075,on
P1,2022-06-22 14:24:56,46.5213444444444,6.57409722222222,on
P1,2022-06-22 14:25:57,46.5213444444444,6.57409722222222,on
P1,2022-06-22 14:26:39,46.5213444444444,6.57409722222222,on
P1,2022-06-22 14:27:33,46.5213444444444,6.57409722222222,on
P1,2022-06-22 14:28:15,46.5213694444444,6.57401666666667,on
P1,2022-06-22 14:29:10,46.5213777777778,6.57398055555556,on
P1,2022-06-22 14:30:03,46.5213777777778,6.57398055555556,on
P1,2022-06-22 14:30:39,46.5213777777778,6.57398055555556,on
P1,2022-06-22 14:31:28,46.5213777777778,6.57398055555556,on
P1,2022-06-22 14:32:15,46.5213777777778,6.57398055555556,on
P1,2022-06-22 14:32:55,46.5213666666667,6.57401666666667,on
P1,2022-06-22 14:33:09,46.5213777777778,6.57403055555555,on
P1,2022-06-26 09:49:23,46.5213361111111,6.57388333333333,on
P1,2022-06-26 09:49:46,46.5213361111111,6.57388333333333,on
P1,2022-06-26 09:50:57,46.5213305555556,6.57388611111111,on
P1,2022-06-26 09:51:49,46.5213694444444,6.57395,on
P1,2022-06-26 09:52:29,46.521375,6.573925,on
P1,2022-06-26 09:53:12,46.5213861111111,6.57392222222222,on
P1,2022-06-26 09:53:51,46.5213861111111,6.57392222222222,on
P1,2022-06-26 09:54:23,46.5213861111111,6.57392222222222,on
P1,2022-06-26 09:54:48,46.5213805555556,6.57388333333333,on
P1,2022-06-26 09:55:47,46.5213805555556,6.57388333333333,on
P1,2022-06-26 09:56:53,46.5213805555556,6.57388333333333,on
P1,2022-06-26 09:57:41,46.5213805555556,6.57388333333333,on
P1,2022-06-26 09:58:37,46.5213805555556,6.57388333333333,on
P1,2022-06-26 09:59:04,46.5213666666667,6.57386388888889,on
