mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
10.7867,3.28483,4.9829,2.17056,2.17056,2.31913
10.7401,3.25298,4.54992,1.95639,1.95639,2.11291
10.5843,3.09849,4.66648,2.55658,2.55658,2.60481
10.6471,3.13935,4.29074,2.00407,2.00407,2.33268
10.6499,3.11787,5.18661,2.88444,2.88444,2.99899
10.362,3.0075,3.89239,1.63939,1.63939,2.04411
10.7442,3.13726,6.0049,3.28406,3.28406,3.22501
10.7535,3.24979,6.90944,3.55434,3.55434,3.47829
10.8604,3.22984,6.49503,3.48664,3.48664,3.59959
10.5211,2.99626,5.13227,2.88405,2.88405,2.90323
10.3764,3.02118,4.92526,2.35621,2.35621,2.46379
10.6353,3.0763,4.68361,2.9321,2.9321,3.27397
10.5561,3.09653,4.58831,2.08106,2.08106,2.22946
10.777,3.19064,5.5856,3.07585,3.07585,3.10304
10.8584,3.41454,4.90827,2.34728,2.34728,2.5775
10.8985,3.28655,4.42182,2.51879,2.51879,3.04479
10.6746,3.15027,5.8732,2.63808,2.63808,2.32568
10.5696,3.0616,5.59574,2.71532,2.71532,2.73431
10.5169,2.91714,4.88703,2.35496,2.35496,2.4844
10.5723,2.96614,4.83799,2.46727,2.46727,2.52538
10.3778,3.2158,4.77366,2.23489,2.23489,2.14371
10.8965,3.16355,5.27584,2.49732,2.49732,2.43573
10.7006,3.26037,4.73362,2.50539,2.50539,2.8444
10.5379,3.15279,3.99164,1.82251,1.82251,2.38919
10.8605,3.09331,4.47792,2.15728,2.15728,2.13445
10.6467,3.34644,5.84048,3.02704,3.02704,3.5002
10.6309,3.14498,3.51277,2.00477,2.00477,2.24755
10.7422,3.21918,4.98504,1.98334,1.98334,3.11295
10.2857,2.77509,4.18974,2.29531,2.29531,2.6281
10.3003,2.97334,5.10535,1.98618,1.98618,2.56018
10.8728,3.26775,3.79782,2.01989,2.01989,2.30685
10.5328,3.08394,4.26482,2.22681,2.22681,2.62536
11.0835,3.49402,4.6587,2.16522,2.16522,2.46493
11.0835,3.49402,4.6587,2.16522,2.16522,2.46493
10.5471,2.93259,5.33609,2.96189,2.96189,2.96241
10.5635,3.31906,5.01256,2.23056,2.23056,2.54842
